,ID,Category,Value1,Value2,Status
124,125,A,15.0,23.21,Inactive
125,126,D,46.0,2.58,Active
126,127,B,33.0,14.71,Inactive
127,128,A,55.0,21.15,Inactive
128,129,D,62.0,30.54,Inactive
129,130,D,69.0,14.28,Active
130,131,D,72.0,7.53,Active
131,132,A,94.0,4.73,Inactive
132,133,A,41.0,47.09,Active
133,134,A,96.0,21.42,Active
134,135,C,42.0,29.48,Active
135,136,A,76.0,46.04,Active
136,137,A,27.0,5.05,Active
137,138,A,34.0,43.96,Active
138,139,C,63.0,28.03,Active
139,140,A,67.0,9.08,Active
140,141,D,76.0,21.15,Active
141,142,A,55.0,39.1,Active
142,143,D,33.0,24.54,Inactive
143,144,D,41.0,49.28,Inactive
144,145,D,56.0,19.46,Active
145,146,C,95.0,37.73,Inactive
146,147,C,32.0,20.26,Inactive
147,148,C,75.0,41.63,Active
148,149,A,,28.88,Active
149,150,D,11.0,4.11,Active
150,151,C,99.0,2.8,Inactive
151,152,C,26.0,7.56,Inactive
152,153,A,42.0,1.67,Active
153,154,C,18.0,4.69,Active
154,155,A,52.0,34.89,Active
155,156,B,57.0,27.18,Inactive
156,157,C,48.0,37.75,Inactive
157,158,B,51.0,45.75,Inactive
158,159,A,35.0,29.67,Inactive
159,160,D,59.0,36.58,Active
160,161,C,34.0,38.1,Active
161,162,A,33.0,19.51,Active
162,163,D,22.0,12.81,Active
163,164,D,69.0,11.05,Inactive
164,165,B,16.0,13.32,Inactive
165,166,A,66.0,14.46,Active
166,167,D,45.0,11.15,Active
167,168,C,54.0,44.03,Inactive
168,169,C,29.0,38.09,Active
169,170,B,74.0,3.3,Inactive
170,171,D,17.0,14.16,Active
171,172,A,25.0,2.09,Active
172,173,C,23.0,25.41,Active
173,174,D,85.0,24.33,Active
174,175,D,96.0,41.74,Active
175,176,B,24.0,16.08,Active
176,177,C,75.0,41.0,Active
177,178,C,41.0,48.43,Inactive
178,179,A,96.0,5.33,Inactive
179,180,C,72.0,39.8,Inactive
180,181,A,95.0,29.91,
181,182,C,60.0,24.52,Inactive
182,183,B,34.0,21.61,Active
183,184,C,67.0,39.45,Active
184,185,A,72.0,32.33,Inactive
185,186,A,71.0,40.45,Active
186,187,B,31.0,45.25,Inactive
187,188,C,67.0,31.25,Inactive
188,189,C,67.0,49.04,Active
189,190,B,95.0,30.8,Active
190,191,C,58.0,32.2,Active
191,192,C,61.0,28.19,Inactive
192,193,A,51.0,5.46,Active
193,194,C,79.0,36.59,Inactive
194,195,C,24.0,27.82,Inactive
195,196,B,63.0,23.09,Inactive
196,197,B,69.0,45.61,Active
197,198,D,17.0,15.6,Active
198,199,A,62.0,26.66,Inactive
199,200,C,69.0,35.18,Active
200,201,C,14.0,40.03,Active
201,202,D,77.0,23.51,Active
202,203,C,15.0,42.26,Inactive
203,204,A,56.0,38.68,Inactive
204,205,D,64.0,4.25,Active
205,206,A,49.0,3.25,Inactive
206,207,D,61.0,,Active
207,208,D,25.0,18.02,Active
208,209,B,22.0,11.25,Active
209,210,A,39.0,29.4,Active
210,211,C,28.0,17.74,Inactive
211,212,C,26.0,27.33,Inactive
212,213,A,72.0,23.55,Inactive
213,214,C,28.0,29.65,Active
214,215,C,67.0,20.61,Active
215,216,A,64.0,35.19,Active
216,217,D,99.0,9.82,Inactive
217,218,A,99.0,35.13,Active
218,219,D,71.0,21.17,Inactive
219,220,C,32.0,43.84,Inactive
220,221,C,18.0,26.25,Inactive
221,222,C,21.0,48.68,Inactive
222,223,B,10.0,30.49,Inactive
223,224,D,67.0,11.97,Inactive
224,225,B,10.0,41.27,Active
225,226,B,43.0,17.91,Active
226,227,A,57.0,18.03,Inactive
227,228,B,,2.56,Inactive
228,229,A,10.0,27.89,Active
229,230,A,25.0,27.19,Inactive
230,231,B,70.0,18.44,Inactive
231,232,D,73.0,44.82,Active
232,233,D,72.0,7.31,Inactive
233,234,D,78.0,17.17,Inactive
234,235,D,31.0,16.76,Inactive
235,236,D,76.0,5.52,Active
236,237,B,85.0,24.58,Active
237,238,B,35.0,34.7,Active
238,239,C,25.0,26.07,Inactive
239,240,D,60.0,8.69,Inactive
240,241,B,95.0,19.49,Active
241,242,C,66.0,1.13,
242,243,D,38.0,43.55,Inactive
243,244,A,87.0,5.14,Inactive
244,245,C,78.0,30.27,Inactive
245,246,B,56.0,49.33,Inactive
246,247,A,71.0,27.29,Active
247,248,A,78.0,46.28,Inactive
248,249,A,85.0,12.57,Active
249,250,C,25.0,38.24,Inactive
250,251,B,99.0,27.03,Active
251,252,A,99.0,36.31,Inactive
252,253,D,57.0,4.05,Active
253,254,A,94.0,8.24,Inactive
254,255,A,48.0,7.52,Active
255,256,C,42.0,34.67,Inactive
256,257,C,32.0,42.38,Active
257,258,B,19.0,37.73,Inactive
258,259,D,78.0,,Active
259,260,C,43.0,43.49,Active
260,261,A,61.0,18.35,Inactive
261,262,B,19.0,20.46,Inactive
262,263,A,28.0,6.14,Active
263,264,A,67.0,37.13,Inactive
264,265,C,10.0,9.93,Active
265,266,B,78.0,28.63,Active
266,267,D,13.0,42.19,Active
267,268,D,25.0,5.37,Inactive
268,269,C,33.0,27.23,Active
269,270,C,89.0,12.43,Active
270,271,B,11.0,17.8,Inactive
271,272,D,41.0,24.22,Inactive
272,273,D,93.0,18.4,Inactive
273,274,D,33.0,32.79,Inactive
274,275,A,21.0,24.5,Active
275,276,D,59.0,29.63,Active
276,277,A,44.0,37.1,Active
277,278,B,42.0,28.33,Active
278,279,A,42.0,29.74,Inactive
279,280,B,70.0,28.66,Active
280,281,,60.0,19.56,Active
281,282,D,52.0,17.53,Inactive
282,283,B,21.0,45.08,Active
283,284,C,76.0,30.77,Active
284,285,B,74.0,12.97,Active
285,286,C,42.0,25.41,Active
286,287,A,49.0,17.19,Active
287,288,A,83.0,46.75,Active
288,289,A,52.0,1.37,Inactive
289,290,D,53.0,12.04,Inactive
290,291,A,38.0,18.9,Active
291,292,C,22.0,24.9,Active
292,293,A,21.0,42.69,Inactive
293,294,B,55.0,5.31,Active
294,295,B,11.0,40.49,Active
295,296,D,44.0,3.73,Active
296,297,B,96.0,42.27,Inactive
297,298,C,90.0,3.53,Active
298,299,A,99.0,1.89,Inactive
299,300,D,17.0,35.15,Active
