ID,Category,Value1,Value2,Status
95,,26.0,40.3,Active
96,B,42.0,48.92,Inactive
97,B,57.0,28.24,Inactive
98,D,85.0,16.81,Inactive
99,B,68.0,3.13,Inactive
100,A,95.0,46.31,Inactive
101,C,31.0,46.04,Active
102,B,39.0,13.4,Inactive
103,B,47.0,35.08,Active
104,D,60.0,4.7,Active
105,B,63.0,9.14,Active
106,B,17.0,11.62,Inactive
107,B,36.0,15.43,Inactive
108,D,36.0,49.8,Inactive
109,B,30.0,35.15,Active
110,C,39.0,19.83,Active
111,D,37.0,37.12,Active
112,C,73.0,45.85,Active
113,D,78.0,47.98,Active
114,B,70.0,3.84,Active
115,C,57.0,20.33,Inactive
116,D,28.0,6.23,Inactive
117,A,13.0,17.45,Inactive
118,B,44.0,9.31,Inactive
119,D,73.0,32.7,Active
120,A,58.0,20.03,Active
121,D,26.0,12.24,Inactive
122,A,53.0,14.03,Active
123,B,39.0,18.66,Inactive
124,C,55.0,13.74,Inactive
125,A,15.0,23.21,Inactive
126,D,46.0,2.58,Active
127,B,33.0,14.71,Inactive
128,A,55.0,21.15,Inactive
129,D,62.0,30.54,Inactive
130,D,69.0,14.28,Active
131,D,72.0,7.53,Active
132,A,94.0,4.73,Inactive
133,A,41.0,47.09,Active
134,A,96.0,21.42,Active
135,C,42.0,29.48,Active
136,A,76.0,46.04,Active
137,A,27.0,5.05,Active
138,A,34.0,43.96,Active
139,C,63.0,28.03,Active
140,A,67.0,9.08,Active
141,D,76.0,21.15,Active
142,A,55.0,39.1,Active
143,D,33.0,24.54,Inactive
144,D,41.0,49.28,Inactive
145,D,56.0,19.46,Active
146,C,95.0,37.73,Inactive
147,C,32.0,20.26,Inactive
148,C,75.0,41.63,Active
149,A,,28.88,Active
150,D,11.0,4.11,Active
151,C,99.0,2.8,Inactive
152,C,26.0,7.56,Inactive
153,A,42.0,1.67,Active
154,C,18.0,4.69,Active
155,A,52.0,34.89,Active
156,B,57.0,27.18,Inactive
157,C,48.0,37.75,Inactive
158,B,51.0,45.75,Inactive
159,A,35.0,29.67,Inactive
160,D,59.0,36.58,Active
161,C,34.0,38.1,Active
162,A,33.0,19.51,Active
163,D,22.0,12.81,Active
164,D,69.0,11.05,Inactive
165,B,16.0,13.32,Inactive
166,A,66.0,14.46,Active
167,D,45.0,11.15,Active
168,C,54.0,44.03,Inactive
169,C,29.0,38.09,Active
170,B,74.0,3.3,Inactive
171,D,17.0,14.16,Active
172,A,25.0,2.09,Active
173,C,23.0,25.41,Active
174,D,85.0,24.33,Active
175,D,96.0,41.74,Active
176,B,24.0,16.08,Active
177,C,75.0,41.0,Active
178,C,41.0,48.43,Inactive
179,A,96.0,5.33,Inactive
180,C,72.0,39.8,Inactive
181,A,95.0,29.91,
182,C,60.0,24.52,Inactive
183,B,34.0,21.61,Active
184,C,67.0,39.45,Active
185,A,72.0,32.33,Inactive
186,A,71.0,40.45,Active
187,B,31.0,45.25,Inactive
188,C,67.0,31.25,Inactive
189,C,67.0,49.04,Active
190,B,95.0,30.8,Active
191,C,58.0,32.2,Active
192,C,61.0,28.19,Inactive
193,A,51.0,5.46,Active
194,C,79.0,36.59,Inactive
195,C,24.0,27.82,Inactive
196,B,63.0,23.09,Inactive
197,B,69.0,45.61,Active
198,D,17.0,15.6,Active
199,A,62.0,26.66,Inactive
200,C,69.0,35.18,Active
201,C,14.0,40.03,Active
202,D,77.0,23.51,Active
203,C,15.0,42.26,Inactive
204,A,56.0,38.68,Inactive
205,D,64.0,4.25,Active
206,A,49.0,3.25,Inactive
207,D,61.0,,Active
208,D,25.0,18.02,Active
209,B,22.0,11.25,Active
210,A,39.0,29.4,Active
211,C,28.0,17.74,Inactive
212,C,26.0,27.33,Inactive
213,A,72.0,23.55,Inactive
214,C,28.0,29.65,Active
215,C,67.0,20.61,Active
216,A,64.0,35.19,Active
217,D,99.0,9.82,Inactive
218,A,99.0,35.13,Active
219,D,71.0,21.17,Inactive
220,C,32.0,43.84,Inactive
221,C,18.0,26.25,Inactive
222,C,21.0,48.68,Inactive
223,B,10.0,30.49,Inactive
224,D,67.0,11.97,Inactive
225,B,10.0,41.27,Active
226,B,43.0,17.91,Active
227,A,57.0,18.03,Inactive
228,B,,2.56,Inactive
229,A,10.0,27.89,Active
230,A,25.0,27.19,Inactive
231,B,70.0,18.44,Inactive
232,D,73.0,44.82,Active
233,D,72.0,7.31,Inactive
234,D,78.0,17.17,Inactive
235,D,31.0,16.76,Inactive
236,D,76.0,5.52,Active
237,B,85.0,24.58,Active
238,B,35.0,34.7,Active
239,C,25.0,26.07,Inactive
240,D,60.0,8.69,Inactive
241,B,95.0,19.49,Active
242,C,66.0,1.13,
243,D,38.0,43.55,Inactive
244,A,87.0,5.14,Inactive
245,C,78.0,30.27,Inactive
246,B,56.0,49.33,Inactive
247,A,71.0,27.29,Active
248,A,78.0,46.28,Inactive
249,A,85.0,12.57,Active
250,C,25.0,38.24,Inactive
251,B,99.0,27.03,Active
252,A,99.0,36.31,Inactive
253,D,57.0,4.05,Active
254,A,94.0,8.24,Inactive
255,A,48.0,7.52,Active
256,C,42.0,34.67,Inactive
257,C,32.0,42.38,Active
258,B,19.0,37.73,Inactive
259,D,78.0,,Active
260,C,43.0,43.49,Active
261,A,61.0,18.35,Inactive
262,B,19.0,20.46,Inactive
263,A,28.0,6.14,Active
264,A,67.0,37.13,Inactive
265,C,10.0,9.93,Active
266,B,78.0,28.63,Active
267,D,13.0,42.19,Active
268,D,25.0,5.37,Inactive
269,C,33.0,27.23,Active
270,C,89.0,12.43,Active
271,B,11.0,17.8,Inactive
272,D,41.0,24.22,Inactive
273,D,93.0,18.4,Inactive
274,D,33.0,32.79,Inactive
275,A,21.0,24.5,Active
276,D,59.0,29.63,Active
277,A,44.0,37.1,Active
278,B,42.0,28.33,Active
279,A,42.0,29.74,Inactive
280,B,70.0,28.66,Active
281,,60.0,19.56,Active
282,D,52.0,17.53,Inactive
283,B,21.0,45.08,Active
284,C,76.0,30.77,Active
285,B,74.0,12.97,Active
286,C,42.0,25.41,Active
287,A,49.0,17.19,Active
288,A,83.0,46.75,Active
289,A,52.0,1.37,Inactive
290,D,53.0,12.04,Inactive
291,A,38.0,18.9,Active
292,C,22.0,24.9,Active
293,A,21.0,42.69,Inactive
294,B,55.0,5.31,Active
295,B,11.0,40.49,Active
296,D,44.0,3.73,Active
297,B,96.0,42.27,Inactive
298,C,90.0,3.53,Active
299,A,99.0,1.89,Inactive
300,D,17.0,35.15,Active
190,B,95.0,30.8,Active
124,C,55.0,13.74,Inactive
186,A,71.0,40.45,Active
214,C,28.0,29.65,Active
107,B,36.0,15.43,Inactive
128,A,55.0,21.15,Inactive
177,C,75.0,41.0,Active
74,B,93.0,35.7,Inactive
276,D,59.0,29.63,Active
243,D,38.0,43.55,Inactive
267,D,13.0,42.19,Active
148,C,75.0,41.63,Active
300,D,17.0,35.15,Active
59,C,41.0,42.09,Inactive
123,B,39.0,18.66,Inactive
